name,x_handle,enabled,notes
Geoffrey Hinton,geoffreyhinton,1,
Yann LeCun,ylecun,1,
Yoshua Bengio,yoshuabengio,1,
Fei-Fei Li,drfeifei,1,
Jürgen Schmidhuber,SchmidhuberAI,1,
Jensen Huang,jensenhwang,1,
Sam Altman,sama,1,
Demis Hassabis,demishassabis,1,
Elon Musk,elonmusk,1,
Sundar Pichai,sundarpichai,1,
Satya Nadella,satyanadella,1,
Dario Amodei,DarioAmodei,1,
Ilya Sutskever,ilyasut,1,
Mark Zuckerberg,zuck,1,source marks Threads account; verify X availability
Mustafa Suleyman,mustafasuleyman,1,
Alexandr Wang,alexandr_wang,1,
Lisa Su,LisaSu,1,
Andrej Karpathy,karpathy,1,
Thomas Wolf,ThomWolf,1,
Harrison Chase,hwchase17,1,
Aravind Srinivas,AravSrinivas,1,
Jim Fan,DrJimFan,1,
Xiao Hong,ManusAI_,1,official account for Manus AI
Matt Shumer,mattshumer_,1,
Andrew Ng,AndrewYNg,1,
Grant Sanderson,3blue1brown,1,
Lex Fridman,lexfridman,1,
Sebastian Raschka,rasbt,1,
Rowan Cheung,rowancheung,1,
Lilian Weng,lilianweng,1,
Yuval Noah Harari,harari_yuval,1,
Stuart Russell,StuartJRussell,1,
Nick Bostrom,NickBostrom,1,
Max Tegmark,tegmark,1,
Eliezer Yudkowsky,ESYudkowsky,1,alt account: allTheYud
Timnit Gebru,timnitGebru,1,
Gary Marcus,GaryMarcus,1,
Kate Crawford,kate_crawford,1,
Kate Darling,katedarling,1,
